LCSC Part Number,Customer #,Quoted Manufacturer,Quoted LCSC Part Number,Quantity,Unit Price,Quantity Available,Min\Mult Order Qty,RoHS,Part Match Confidence
C103210,,RALEC,C103210,600,0.0011,1992800,100\100,yes,100%
C1592,,Samsung Electro-Mechanics,C1592,350,0.0049,3744950,50\50,yes,100%
C318884,,XKB Connectivity,C318884,250,0.0129,149850,50\50,yes,100%
C103204,,RALEC,C103204,300,0.0026,1838900,100\100,yes,100%
C8667,,Nexperia,C8667,150,0.0108,3868000,50\50,yes,100%
C1713,,Samsung Electro-Mechanics,C1713,150,0.0122,2365150,50\50,yes,100%
C181111,,Guangdong Hottech,C181111,100,0.0097,179300,50\50,yes,100%
C125104,,Lite-On,C125104,80,0.0333,104250,10\10,yes,100%
C25201,,UNI-ROYAL(Uniroyal Elec),C25201,100,0.0011,3054200,100\100,yes,100%
C347222,,"UMW(Youtai Semiconductor Co., Ltd.)",C347222,40,0.0464,315000,10\10,yes,100%
C84681,,WCH(Jiangsu Qin Heng),C84681,36,0.3137,43417,1\1,yes,100%
C82891,,Ai-Thinker,C82891,36,1.2377,9843,1\1,yes,100%
C85007,,Shenzhen Allvision Tech,C85007,36,2.3984,67,1\1,yes,100%
C167321,,Jing Extension of the Electronic Co.,C167321,36,0.2024,14561,1\1,yes,100%
